Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
271,Stephen F. Austin,30,21,9,0.7,-2.1,-9.33,10,6,16,0,5,9,2138,1821,,,0.32,0.28,0.541,50.7,48.5,,3.1,0.51,17.4,,0.226,,786,1715,0.458,179,481,0.372,387,548,0.706,350,1002,381,266,45,417,616
272,Stetson,27,12,15,0.444,-10.23,-3.87,10,10,8,6,4,8,1835,1958,,,0.374,0.254,0.489,50.3,46.2,,3.8,0.446,17.9,,0.261,1100,650,1592,0.408,120,405,0.296,415,595,0.697,385,980,300,262,59,410,498
273,Stony Brook,30,10,20,0.333,-11.55,-6.48,5,13,5,9,4,10,1877,2029,,,0.385,0.268,0.506,49.6,48.2,,4.7,0.466,19.7,,0.265,1225,664,1568,0.423,133,421,0.316,416,604,0.689,328,980,320,219,76,456,551
274,Syracuse NCAA,31,23,8,0.742,13.06,7.61,11,5,14,3,6,3,2265,2096,,,0.366,0.235,0.528,50.6,54.9,,11.1,0.502,15.6,,0.235,1245,847,1827,0.464,141,430,0.328,430,669,0.643,423,1180,465,235,205,396,554
275,Temple,29,15,14,0.517,5.58,5.16,9,7,8,5,6,6,1889,1877,,,0.333,0.42,0.475,50,38.4,,5.5,0.441,11.6,,0.217,,657,1717,0.383,202,721,0.28,373,572,0.652,417,1054,252,243,83,260,477
276,Tennessee-Martin,28,10,18,0.357,-8.57,-2.72,5,11,8,4,1,13,2037,2138,,,0.339,0.335,0.521,49.8,59.6,,4.5,0.491,18.4,,0.228,,737,1683,0.438,179,564,0.317,384,570,0.674,360,1031,439,229,75,441,539
277,Tennessee State,28,7,21,0.25,-11.41,-1.91,6,10,5,7,2,14,1932,2179,,,0.262,0.379,0.507,44.4,56.3,,3.2,0.482,15,,0.177,1120,703,1693,0.415,227,641,0.354,299,444,0.673,324,860,396,199,47,335,580
278,Tennessee Tech,28,13,15,0.464,-6.23,-2.75,7,9,11,4,2,11,2150,2126,,,0.296,0.366,0.55,51.4,55.5,,3.8,0.521,17.3,,0.212,1130,778,1714,0.454,231,628,0.368,363,507,0.716,352,1024,432,191,60,409,552
279,Tennessee,29,15,14,0.517,7.39,7.18,7,9,14,3,1,10,2063,2057,,,0.432,0.29,0.538,52.2,61.8,,5.7,0.491,18.5,,0.313,,702,1592,0.441,160,461,0.347,499,688,0.725,365,1067,434,173,96,435,533
280,Texas A&M-Corpus Christi,26,15,11,0.577,-5.73,-4.64,,,10,3,5,8,1901,1840,,,0.383,0.241,0.543,55.1,59.7,,3,0.505,20.4,,0.273,,689,1482,0.465,119,357,0.333,404,568,0.711,355,969,411,189,43,448,464
281,Texas A&M,28,7,21,0.25,-1.51,3.03,0,16,5,9,2,11,2013,2140,,,0.377,0.311,0.505,53.3,59,,2.3,0.467,17.3,,0.258,1140,703,1690,0.416,171,525,0.326,436,637,0.684,441,1065,415,172,35,417,593
282,Texas-Arlington,29,17,12,0.586,-6.13,-6.47,11,5,12,2,5,8,2097,2036,,,0.491,0.242,0.56,52.3,50.4,,5.2,0.508,20.4,,0.366,1160,704,1518,0.464,134,367,0.365,555,745,0.745,324,1007,355,193,85,481,511
283,Texas Christian,29,12,17,0.414,1.39,4.98,7,9,8,9,3,7,1941,2045,,,0.405,0.348,0.511,48.9,55.5,,4.2,0.472,18.4,,0.274,1165,660,1593,0.414,185,555,0.333,436,645,0.676,333,1013,366,177,70,428,562
284,Texas-El Paso NCAA,32,24,8,0.75,11.42,3.55,13,5,16,1,6,5,2479,2161,,,0.467,0.293,0.58,49.9,62.7,,4.6,0.533,17.2,,0.351,1280,834,1748,0.477,197,513,0.384,614,817,0.752,328,1106,523,228,86,445,572
285,Texas-Rio Grande Valley,28,14,14,0.5,-8.91,-3,,,10,3,4,10,2005,1996,,,0.402,0.39,0.51,51.2,57.5,,5.3,0.467,18.8,,0.282,1135,661,1649,0.401,218,643,0.339,465,663,0.701,390,1101,380,224,85,456,583
286,Texas-San Antonio NCAA,33,19,14,0.576,-7.22,-6.11,11,5,11,5,7,5,2400,2367,,,0.409,0.342,0.53,50.6,51.8,,5,0.491,19.9,,0.285,,813,1896,0.429,234,648,0.361,540,775,0.697,415,1242,421,251,99,564,635
287,Texas Southern,29,14,15,0.483,-13.84,-12.98,10,8,11,1,2,13,1918,1923,,,0.532,0.26,0.495,51.9,47.3,,4.4,0.447,22,,0.348,,636,1545,0.412,108,401,0.269,538,822,0.655,363,1082,301,204,75,545,563
288,Texas State,28,13,15,0.464,-9.19,-7.01,8,8,9,3,3,9,1933,1933,,,0.343,0.39,0.542,50.3,60.5,,3.8,0.505,19,,0.251,,669,1532,0.437,210,597,0.352,385,526,0.732,326,941,405,195,56,417,600
